date,log_return,weekday,days_to_friday,target_forward_return,target_horizon_scaled_return,fwd_rvol,atm_iv_30d,quantile_0_prob,quantile_1_prob,quantile_2_prob,quantile_3_prob,quantile_4_prob,expected_scaled_return_sq_plain,expected_scaled_return_sq,expected_realised_variance_plain,expected_realised_variance,expected_realised_volatility_plain,expected_realised_volatility
2022-04-20,-0.0011191942970151,2,3,-0.0422678565757342,-0.024403358372068636,0.3333890619230452,0.1782906428961738,0.2298095627912974,0.2064309678364932,0.15575987932175292,0.23147816629368553,0.1765214237567709,7.652074921512624e-05,1.530827081514709e-05,0.01928322880221181,0.003857684245417067,0.1388640659141587,0.06211025877757286
2022-04-21,-0.0146646734042468,3,2,-0.0411486622787191,-0.029096498134037366,0.3358868862123328,0.1993234158669219,0.20401004250366694,0.20066447687746447,0.19041241112584484,0.21692650556530216,0.18798656392772164,7.386595324945699e-05,1.4774434136825831e-05,0.01861422021886316,0.0037231574024801095,0.13643394086100116,0.06101768106442681
2022-04-22,-0.0264839888744723,4,1,-0.0264839888744723,-0.0264839888744723,0.3250802822470779,0.2436301282796003,0.19204431780834247,0.19733908412404158,0.16974989102586652,0.20728082008814042,0.2335858869536091,7.950895731909731e-05,1.591291143601931e-05,0.020036257244412523,0.004010053681876866,0.14154948690974659,0.0633249846575336
2022-04-25,0.004656585829951,0,5,-0.033217763462485006,-0.01485543543252505,0.326067843828542,0.2354944321778385,0.19226249582066723,0.13070228886290128,0.23919880664801088,0.1596410491508932,0.2781953595175275,8.605509224592257e-05,1.719136308353598e-05,0.02168588324597249,0.004332223497051067,0.1472612754459654,0.06581962850891113
2022-04-26,-0.0270764039456477,1,4,-0.037874349292436,-0.018937174646218,0.3209750404783118,0.2765258320405706,0.24707094791288658,0.12646924860053116,0.12285534578261131,0.2341034748521506,0.26950098285182034,9.588775557264336e-05,1.917958483098003e-05,0.024163714404306126,0.0048332553774069675,0.1554468217890161,0.06952161805803263
2022-04-27,0.0023837913552761,2,3,-0.0107979453467883,-0.006234196652663092,0.3312230050247452,0.2660418679469443,0.23909664257640467,0.1465631370633813,0.17685021284518973,0.1294945044440824,0.30799550307094187,9.843713557392842e-05,1.967607323233588e-05,0.02480615816462996,0.004958370454548642,0.1574997084588729,0.07041569750097376
2022-04-28,0.023530497410194,3,2,-0.013181736702064399,-0.009320895409845332,0.3224339081480267,0.242299759815031,0.2341536049492579,0.14614005552080495,0.12399064745468451,0.19049920262000014,0.3052164894552525,9.859073272802686e-05,1.9724382510093288e-05,0.02484486464746277,0.0049705443925435085,0.15762253851357289,0.07050208785946349
2022-04-29,-0.0367122341122584,4,1,-0.0367122341122584,-0.0367122341122584,0.2985484722479808,0.283967205684488,0.2804780160299978,0.21390824556217672,0.087926653480799,0.17807069000757544,0.239616394919451,9.536352762090073e-05,1.9108295420145595e-05,0.024031608960466987,0.00481529044587669,0.15502131776135497,0.06939229385080659
2022-05-02,0.0060132472234518,0,5,-0.002415460111603703,-0.0010802266012970218,0.3040770648653584,0.2726983265884247,0.2329616258212054,0.10515953350835208,0.23471416410616194,0.10736768758148629,0.31979698898279435,9.881927813338533e-05,1.9742133309759358e-05,0.024902458089613104,0.004975017594059358,0.15780512694336996,0.07053380461919914
2022-05-03,0.0035906681307285,1,4,-0.008428707335055501,-0.004214353667527751,0.3084184244535644,0.2558189951847119,0.21729182079485213,0.11710291749469096,0.156776143715581,0.20999362986733078,0.29883548812754523,9.51048227439754e-05,1.9013831787958087e-05,0.023966415331481798,0.0047914856105654375,0.15481090184958488,0.06922055771637092
2022-05-04,0.0294312001742178,2,3,-0.012019375465784,-0.0069393896606615765,0.2920057639615002,0.2183119348934382,0.2655647035381215,0.15369513206811594,0.1520260039213044,0.15469104880770382,0.27402311166475435,9.79668730276798e-05,1.958903577703053e-05,0.02468765200297531,0.004936437015811693,0.157123047332259,0.07025978234958953
2022-05-05,-0.0354228298424845,3,2,-0.041450575640001805,-0.029309983119131192,0.268251059613901,0.2762329191118134,0.3340147935204971,0.16506697953005903,0.0884195754820868,0.1853184823697354,0.2271801690976217,0.0001027195531085826,2.0566579716988124e-05,0.025885327383362817,0.005182778088681008,0.16088917733447086,0.07199151400464507
